price,fixed acidity,volatile acidity,citric acid,residual sugar,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,quality
11.983122020014124,7.4,0.7,0.0,1.9,11.0,34.0,3.51,0.56,9.4,0
11.708629271953885,7.8,0.88,0.0,2.6,25.0,67.0,3.2,0.68,9.8,0
12.391543978196804,7.8,0.76,0.04,2.3,15.0,54.0,3.26,0.65,9.8,0
14.003529603627253,11.2,0.28,0.56,1.9,17.0,60.0,3.16,0.58,9.8,1
9.394715040363149,7.4,0.7,0.0,1.9,11.0,34.0,3.51,0.56,9.4,0
13.679707398759716,7.4,0.66,0.0,1.8,13.0,40.0,3.51,0.56,9.4,0
13.679707398759716,7.9,0.6,0.06,1.6,15.0,59.0,3.3,0.46,9.4,0
13.679707398759716,7.3,0.65,0.0,1.2,15.0,21.0,3.39,0.47,10.0,1
13.679707398759716,7.8,0.58,0.02,2.0,9.0,18.0,3.36,0.57,9.5,1
13.679707398759716,7.5,0.5,0.36,6.1,17.0,102.0,3.35,0.8,10.5,0
13.679707398759716,6.7,0.58,0.08,1.8,15.0,65.0,3.28,0.54,9.2,0
13.679707398759716,7.5,0.5,0.36,6.1,17.0,102.0,3.35,0.8,10.5,0
13.679707398759716,5.6,0.615,0.0,1.6,16.0,59.0,3.58,0.52,9.9,0
13.679707398759716,7.8,0.61,0.29,1.6,9.0,29.0,3.26,1.56,9.1,0
13.679707398759716,8.9,0.62,0.18,3.8,52.0,145.0,3.16,0.88,9.2,0
13.679707398759716,8.9,0.62,0.19,3.9,51.0,148.0,3.17,0.93,9.2,0
13.679707398759716,8.5,0.28,0.56,1.8,35.0,103.0,3.3,0.75,10.5,1
13.679707398759716,8.1,0.56,0.28,1.7,16.0,56.0,3.11,1.28,9.3,0
13.679707398759716,7.4,0.59,0.08,4.4,6.0,29.0,3.38,0.5,9.0,0
13.679707398759716,7.9,0.32,0.51,1.8,17.0,56.0,3.04,1.08,9.2,1
13.679707398759716,8.9,0.22,0.48,1.8,29.0,60.0,3.39,0.53,9.4,1
13.679707398759716,7.6,0.39,0.31,2.3,23.0,71.0,3.52,0.65,9.7,0
13.679707398759716,7.9,0.43,0.21,1.6,10.0,37.0,3.17,0.91,9.5,0
13.679707398759716,8.5,0.49,0.11,2.3,9.0,67.0,3.17,0.53,9.4,0
13.679707398759716,6.9,0.4,0.14,2.4,21.0,40.0,3.43,0.63,9.7,1
13.679707398759716,6.3,0.39,0.16,1.4,11.0,23.0,3.34,0.56,9.3,0
13.679707398759716,7.6,0.41,0.24,1.8,4.0,11.0,3.28,0.59,9.5,0
13.679707398759716,7.9,0.43,0.21,1.6,10.0,37.0,3.17,0.91,9.5,0
13.679707398759716,7.1,0.71,0.0,1.9,14.0,35.0,3.47,0.55,9.4,0
13.679707398759716,7.8,0.645,0.0,2.0,8.0,16.0,3.38,0.59,9.8,1
13.679707398759716,6.7,0.675,0.07,2.4,17.0,82.0,3.35,0.54,10.1,0
13.679707398759716,6.9,0.685,0.0,2.5,22.0,37.0,3.46,0.57,10.6,1
13.679707398759716,8.3,0.655,0.12,2.3,15.0,113.0,3.17,0.66,9.8,0
13.679707398759716,6.9,0.605,0.12,10.7,40.0,83.0,3.45,0.52,9.4,1
